4,32164
4,25242
4,32298
4,31160
4,33456
4,19720
4,34002
4,27970
4,29796
4,24528
4,6669
4,26997
4,28258
4,24835
4,22544
4,40809
4,12359
4,14158
4,31566
4,17790
4,25920
4,34760
4,34875
4,21503
4,36224
4,19201
4,35945
4,11621
4,25746
4,28028
4,31682
4,33569
4,25929
4,53004
4,24755
4,31300
4,11896
4,23539
4,27314
4,34302
4,20739
4,31599
4,29839
4,18613
4,35563
4,12305
4,24420
4,12490
4,14398
4,30822
4,28478
4,44638
4,24078
4,11251
4,50461
4,15247
4,28439
4,25485
4,22704
4,21890
4,13338
4,9657
4,33877
4,27894
4,11123
4,20769
4,13825
4,15073
4,29061
4,12893
4,42780
4,33699
4,21710
4,21533
4,25582
4,35208
4,17346
4,6367
4,21956
4,27328
4,19918
4,37677
4,19229
4,24675
4,33924
4,27708
4,29920
4,26375
4,23951
4,18839
4,30933
4,26892
4,40440
4,19486
4,26345
4,8910
4,41867
4,44163
4,24495
4,26576
